Year,Organization,# publications
2000,Academy of Sciences Republic of Uzbekistan,4
2001,Academy of Sciences Republic of Uzbekistan,5
2002,Academy of Sciences Republic of Uzbekistan,5
2003,Academy of Sciences Republic of Uzbekistan,8
2004,Academy of Sciences Republic of Uzbekistan,2
2005,Academy of Sciences Republic of Uzbekistan,5
2006,Academy of Sciences Republic of Uzbekistan,7
2007,Academy of Sciences Republic of Uzbekistan,7
2008,Academy of Sciences Republic of Uzbekistan,4
2009,Academy of Sciences Republic of Uzbekistan,5
2010,Academy of Sciences Republic of Uzbekistan,6
2011,Academy of Sciences Republic of Uzbekistan,5
2012,Academy of Sciences Republic of Uzbekistan,6
2013,Academy of Sciences Republic of Uzbekistan,2
2014,Academy of Sciences Republic of Uzbekistan,6
2015,Academy of Sciences Republic of Uzbekistan,1
2016,Academy of Sciences Republic of Uzbekistan,3
2017,Academy of Sciences Republic of Uzbekistan,6
2018,Academy of Sciences Republic of Uzbekistan,11
2019,Academy of Sciences Republic of Uzbekistan,9
2020,Academy of Sciences Republic of Uzbekistan,16
2021,Academy of Sciences Republic of Uzbekistan,34
2022,Academy of Sciences Republic of Uzbekistan,26
2023,Academy of Sciences Republic of Uzbekistan,35
2000,National University of Uzbekistan,2
2001,National University of Uzbekistan,3
2002,National University of Uzbekistan,6
2004,National University of Uzbekistan,4
2005,National University of Uzbekistan,7
2006,National University of Uzbekistan,2
2007,National University of Uzbekistan,2
2008,National University of Uzbekistan,3
2009,National University of Uzbekistan,7
2010,National University of Uzbekistan,2
2011,National University of Uzbekistan,2
2012,National University of Uzbekistan,5
2013,National University of Uzbekistan,6
2014,National University of Uzbekistan,8
2015,National University of Uzbekistan,8
2016,National University of Uzbekistan,13
2017,National University of Uzbekistan,7
2018,National University of Uzbekistan,7
2019,National University of Uzbekistan,22
2020,National University of Uzbekistan,33
2021,National University of Uzbekistan,61
2022,National University of Uzbekistan,65
2023,National University of Uzbekistan,70
2000,Samarkand State University,1
2001,Samarkand State University,1
2003,Samarkand State University,2
2004,Samarkand State University,2
2005,Samarkand State University,1
2006,Samarkand State University,2
2007,Samarkand State University,3
2008,Samarkand State University,3
2009,Samarkand State University,4
2012,Samarkand State University,3
2013,Samarkand State University,1
2014,Samarkand State University,1
2016,Samarkand State University,1
2017,Samarkand State University,2
2018,Samarkand State University,4
2019,Samarkand State University,9
2020,Samarkand State University,26
2021,Samarkand State University,32
2022,Samarkand State University,33
2023,Samarkand State University,37
2000,Tashkent State University of Economics,3
2007,Tashkent State University of Economics,1
2008,Tashkent State University of Economics,2
2014,Tashkent State University of Economics,1
2015,Tashkent State University of Economics,1
2018,Tashkent State University of Economics,3
2019,Tashkent State University of Economics,2
2020,Tashkent State University of Economics,7
2021,Tashkent State University of Economics,23
2022,Tashkent State University of Economics,45
2023,Tashkent State University of Economics,58
2000,Turin Polytechnic University,1
2001,Turin Polytechnic University,2
2002,Turin Polytechnic University,11
2003,Turin Polytechnic University,9
2004,Turin Polytechnic University,5
2005,Turin Polytechnic University,5
2006,Turin Polytechnic University,9
2007,Turin Polytechnic University,1
2008,Turin Polytechnic University,3
2009,Turin Polytechnic University,2
2010,Turin Polytechnic University,5
2011,Turin Polytechnic University,4
2012,Turin Polytechnic University,8
2013,Turin Polytechnic University,4
2014,Turin Polytechnic University,8
2015,Turin Polytechnic University,7
2016,Turin Polytechnic University,7
2017,Turin Polytechnic University,10
2018,Turin Polytechnic University,8
2019,Turin Polytechnic University,4
2020,Turin Polytechnic University,8
2021,Turin Polytechnic University,10
2022,Turin Polytechnic University,24
2023,Turin Polytechnic University,16
,,
2003,Tashkent University of Information Technology,1
2006,Tashkent University of Information Technology,1
2007,Tashkent University of Information Technology,5
2008,Tashkent University of Information Technology,3
2009,Tashkent University of Information Technology,3
2010,Tashkent University of Information Technology,15
2011,Tashkent University of Information Technology,3
2012,Tashkent University of Information Technology,2
2013,Tashkent University of Information Technology,2
2014,Tashkent University of Information Technology,2
2015,Tashkent University of Information Technology,2
2016,Tashkent University of Information Technology,9
2017,Tashkent University of Information Technology,10
2018,Tashkent University of Information Technology,9
2019,Tashkent University of Information Technology,96
2020,Tashkent University of Information Technology,106
2021,Tashkent University of Information Technology,166
2022,Tashkent University of Information Technology,98
2023,Tashkent University of Information Technology,71
,,
2006,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,2
2007,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,1
2008,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,3
2014,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,1
2018,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,1
2019,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,15
2020,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,56
2021,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,64
2022,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,30
2023,Tashkent Institute of Irrigation and Agricultural Mechanization Engineers,78
,,
2007,Tashkent State Technical University named after Islam Karimov,3
2010,Tashkent State Technical University named after Islam Karimov,2
2014,Tashkent State Technical University named after Islam Karimov,2
2015,Tashkent State Technical University named after Islam Karimov,2
2016,Tashkent State Technical University named after Islam Karimov,4
2017,Tashkent State Technical University named after Islam Karimov,1
2018,Tashkent State Technical University named after Islam Karimov,2
2019,Tashkent State Technical University named after Islam Karimov,28
2020,Tashkent State Technical University named after Islam Karimov,74
2021,Tashkent State Technical University named after Islam Karimov,91
2022,Tashkent State Technical University named after Islam Karimov,41
2023,Tashkent State Technical University named after Islam Karimov,65
,,
2008,Bukhara State University,1
2009,Bukhara State University,1
2014,Bukhara State University,1
2015,Bukhara State University,1
2016,Bukhara State University,1
2017,Bukhara State University,1
2019,Bukhara State University,4
2020,Bukhara State University,24
2021,Bukhara State University,48
2022,Bukhara State University,24
2023,Bukhara State University,7
,,
2016,Tashkent Institute of Railway Transport Engineers,2
2019,Tashkent Institute of Railway Transport Engineers,5
2020,Tashkent Institute of Railway Transport Engineers,10
2021,Tashkent Institute of Railway Transport Engineers,35
2022,Tashkent Institute of Railway Transport Engineers,27
2023,Tashkent Institute of Railway Transport Engineers,54
